,V1
390,Map3k8
391,Naa25
392,Plscr4
393,Gtf3c6
394,Dido1
395,Mettl14
396,Rps19bp1
397,Cdyl
398,Pdcd7
399,Ifitm6
400,Lbhd1
401,Nectin1
402,Ly96
403,Eefsec
404,AI987944
405,Akr1c13
406,Prps1l3
407,Ethe1
408,Pisd-ps2
409,Nasp
410,2410004B18Rik
411,Isy1
412,Ell
413,Smn1
414,Orc5
415,Hcst
416,Ppm1d
417,Lrrcc1
418,Clasp1
419,Mettl13
420,Slfn3
421,Ptpa
422,Atp6v0a1
423,Sik2
424,Copz2
425,Pstk
426,Sgcb
427,Ppp1r14b
428,Spag5
429,Tamm41
430,Gtf2h4
431,Tox4
432,Wipi1
433,Commd9
434,Dis3l2
435,Gnpda2
436,Aatk
437,Klf10
438,Mylip
439,Lyrm2
440,Thyn1
441,Exd2
442,Apba3
443,Foxn3
444,Bicral
445,Tbc1d25
446,Ptk2
447,Praf2
448,Dbr1
449,Polb
450,Chic2
451,Cracr2b
452,Rnf113a2
453,Pigh
454,Tmem175
455,Tsr3
456,Klhl7
457,Gpr132
458,Thap3
459,Bloc1s3
460,Fcho1
461,Psenen
462,Mrpl2
463,Phf7
464,Chpt1
465,Rida
466,Cdca2
467,Tle6
468,Nhlrc2
469,Snhg8
470,Ergic2
471,Med10
472,Dnajc1
473,Tnfrsf1a
474,Fcgr2b
475,Sesn2
476,Orc2
477,Rnf180
478,Fam207a
479,Smad6
480,Bcl9
481,Mettl23
482,Dhx34
483,Hinfp
484,Gm15350
485,Ppp1r35
486,Akr1e1
487,Slc25a38
488,Med27
489,Alkbh7
490,Plaur
491,Pdpr
492,Rnaseh2c
493,Ilkap
494,Fam110b
495,Elac1
496,Commd5
497,Dedd
498,5430427O19Rik
499,Magoh
500,Borcs7
501,Rnf185
502,Hist3h2a
503,Mcoln3
504,Fam149b
505,Ttc4
506,Nck2
507,Rab34
508,Pfkfb3
509,Prdm4
510,Mxd3
511,Erg28
512,Fkbp3
513,Dgat1
514,Crebl2
515,Txnl4b
516,Ap5z1
517,Cct3
518,Nt5c3b
519,Dgkg
520,Safb2
521,Scoc
522,Tnfrsf23
523,Pdcd2l
524,2610507I01Rik
525,Hps4
526,Utp14a
527,BC002163
528,Ndufb9
529,Lcmt1
530,Alg9
531,Trnau1ap
532,4933433G19Rik
533,Atp5k
534,Sec23a
535,Il15
536,Anapc13
537,Wdr61
538,Ap4m1
539,Cpsf4
540,Panx1
541,Esco2
542,Clns1a
543,Ccdc186
544,Selenbp1
545,Ube2q2
546,Msmp
547,Gbe1
548,Insig2
549,Spout1
550,Vps13a
551,Sept10
552,Ccnh
553,Pomt1
554,Mrpl21
555,Ppil1
556,Leng1
557,Pdcd4
558,Tspan3
559,Nme1
560,Lrrc20
561,Rnft1
562,Bola2
563,1110034G24Rik
564,Tceal8
565,Ogfod2
566,Cdc26
567,Abcg1
568,Wdr20
569,D030056L22Rik
570,Terf2ip
571,Rrp36
572,Cyth3
573,Ccdc167
